"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
2018-03-26 20:00:00,"1",1,"March",26,99,47,99,99,"1111",NA,NA
2018-03-26 20:00:00,"1",2,"February",26,99,47,99,99,NA,NA,NA
2018-06-04 20:00:00,"K",2,"March",26,99,47,99,99,"Anderson, Nest, LL, PS11","Anderson","Yes"
2017-04-08 15:17:06,"2",2,"November",28,99,47,99,99,"Anderson",NA,"Yes"
2017-04-28 07:41:59,"2",2,"November",28,99,47,99,99,"Anderson, nestM, lower lab",NA,NA
2018-03-28 20:00:00,"K",11,"January",26,99,48,99,99,"Anderson TAG",NA,"Maybe"
2017-04-07 08:42:05,"1",NA,"May",29,99,48,99,99,NA,NA,NA
2017-04-25 07:12:19,"1",28,"May",29,99,48,99,99,"Q300",NA,"Yes"
NA,"K",25,"January",NA,99,48,99,99,NA,NA,NA
2017-06-01 08:36:44,"K",2,"June",24,97,NA,99,98,"Anderson, NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI","PS130","Yes"
2018-03-27 20:00:00,"K",26,"November",24,99,NA,99,99,"PS188",NA,NA
2017-04-08 04:33:07,"K",3,"August",25,99,NA,99,99,"Anderson, NEST+m",NA,"Maybe"
2018-03-26 20:00:00,"1",2,"May",25,99,NA,99,99,"NEST+M",NA,NA
2018-03-27 20:00:00,"K",21,"February",27,99,NA,99,99,NA,NA,NA
2017-04-20 11:10:19,"2",15,"December",28,99,NA,99,99,"NEST+M",NA,NA
2017-06-01 13:50:09,"2",2,"October",28,99,NA,99,99,"Anderson","None","Yes"
2018-03-26 20:00:00,"2",3,"June",29,99,NA,99,99,"Anderson, Q300, NEST, Mamie Fay",NA,NA
2017-04-08 02:44:01,"1",6,"September",NA,99,NA,99,99,"NEST+m, TAG, Anderson, Q300","NEST","Yes"
2017-04-10 06:04:50,"K",25,"May",NA,97,NA,98,98,"Anderson","PS 32 Q","Yes"
2017-04-11 18:32:23,"K",3,"December",NA,98,NA,99,99,"Anderson, Tag Young, Nest+M",NA,"Yes"
2017-04-13 10:05:27,"K",32,"March",NA,79,NA,99,94,NA,NA,NA
NA,"K",2,"September",NA,99,NA,99,99,NA,NA,NA
2017-04-26 19:34:58,"3",30,"October",NA,90,NA,90,90,NA,NA,NA
2017-05-04 06:16:30,"K",20,"January",NA,96,NA,99,98,"BSI",NA,"Yes"
2017-05-08 07:38:31,"K",25,"August",NA,94,NA,99,93,NA,NA,NA
2017-05-10 16:31:46,"K",2,"July",NA,87,NA,99,96,"11,198,33",NA,"Yes"
2017-06-01 14:06:00,"K",2,"July",NA,83,NA,99,95,"LL, PS11, PS33","none",NA
2017-06-02 05:52:09,"1",2,"March",NA,98,NA,98,98,NA,NA,NA
2017-06-02 08:03:31,"K",2,"July",NA,97,NA,98,98,"NEST,LL,Anderson,TAG,PS130,PS11,PS124","PS130","Maybe"
2017-06-04 17:25:21,"1",3,"November",NA,99,NA,99,99,"Anderson, NEST, PS 166, TAG, LL","PS 166","Yes"
2017-06-07 19:25:27,"K",2,"December",NA,99,NA,99,99,NA,NA,"Yes"
2017-06-21 18:52:59,"K",20,"July",NA,97,NA,99,98,"PS229","Ps205","Yes"
2018-03-26 20:00:00,"1",2,"November",NA,99,NA,99,99,"NEST, TAG, LL, PS11, PS130, PS33","TAG","Yes"
2018-03-26 20:00:00,"K",25,"March",NA,99,NA,99,99,"Tag",NA,NA
NA,"K",2,"Feb",NA,99,NA,99,99,"Nest, Anderson, TAG, LL Q300, PS33","PS33",NA
2018-06-03 20:00:00,"K",2,NA,NA,97,NA,99,98,"NEST, PS33, PS11","PS33","Yes"
2018-03-26 20:00:00,"1",20,"June",NA,91,NA,95,93,NA,"\",NA
2018-03-26 20:00:00,"2",3,"July",NA,62,NA,99,91,NA,NA,NA
